Party,Won,Party ID
Bharatiya Janata Party - BJP,240,369
Indian National Congress - INC,99,742
Samajwadi Party - SP,37,1680
All India Trinamool Congress - AITC,29,140
Dravida Munnetra Kazhagam - DMK,22,582
Telugu Desam - TDP,16,1745
Janata Dal  (United) - JD(U),12,805
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,9,3369
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,8,3620
Shiv Sena - SHS,7,3529
Lok Janshakti Party(Ram Vilas) - LJPRV,5,3165
Yuvajana Sramika Rythu Congress Party - YSRCP,4,1888
Rashtriya Janata Dal - RJD,4,1420
Communist Party of India  (Marxist) - CPI(M),4,547
Indian Union Muslim League - IUML,3,772
Aam Aadmi Party - AAAP,3,1
Jharkhand Mukti Morcha - JMM,3,852
Janasena Party - JnP,2,860
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),2,545
Janata Dal  (Secular) - JD(S),2,804
Viduthalai Chiruthaigal Katchi - VCK,2,1847
Communist Party of India - CPI,2,544
Rashtriya Lok Dal - RLD,2,1458
Jammu & Kashmir National Conference - JKN,2,834
"United People’s Party, Liberal - UPPL",1,1998
Asom Gana Parishad - AGP,1,83
Hindustani Awam Morcha (Secular) - HAMS,1,664
Kerala Congress - KEC,1,911
Revolutionary Socialist Party - RSP,1,1534
Nationalist Congress Party - NCP,1,1142
Voice of the People Party - VOTPP,1,3388
Zoram People’s Movement - ZPM,1,2757
Shiromani Akali Dal - SAD,1,1584
Rashtriya Loktantrik Party - RLTP,1,2484
Bharat Adivasi Party - BHRTADVSIP,1,3482
Sikkim Krantikari Morcha - SKM,1,1658
Marumalarchi Dravida Munnetra Kazhagam - MDMK,1,1046
Aazad Samaj Party (Kanshi Ram) - ASPKR,1,2989
Apna Dal (Soneylal) - ADAL,1,2070
AJSU Party - AJSUP,1,160
All India Majlis-E-Ittehadul Muslimeen - AIMIM,1,118
Independent - IND,7,743
